consent_key.keys,consent_key.rt,intro_key_2.keys,intro_key_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,keyTraining.keys,keyTraining.corr,practiceloop.thisRepN,practiceloop.thisTrialN,practiceloop.thisN,practiceloop.thisIndex,practiceloop.ran,s11,s1_1,s12,s22,s13,s23,s33,s14,s24,s34,s44,s15,s25,s35,s45,s55,t11,t1_1,t12,t22,t13,t23,t33,t14,t24,t34,t44,t15,t25,t35,t45,t55,corrans,study,o11,o1_1,o12,o22,o13,o23,o33,o14,o24,o34,o44,o15,o25,o35,o45,o55,ot11,ot1_1,ot12,ot22,ot13,ot23,ot33,ot14,ot24,ot34,ot44,ot15,ot25,ot35,ot45,ot55,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,keyTraining.rt,key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.corr,key_resp.rt,testloop.thisRepN,testloop.thisTrialN,testloop.thisN,testloop.thisIndex,testloop.ran,setsize,key_resp_3.keys,key_resp_3.rt
,,,,,,,,,,,,,,,,,,,,,images/24possible.bmp,images/24possible.bmp,,,,,,,,,,,,,,,images/24possible.bmp,,,,,,,,,,,,,,d,possible,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,0,1.756855,0,4,4,34,1,2,,
,,,,,,,,,,,,,,,,,,,images/69possible.bmp,,,,,,,,,,,,,,,,images/69possible.bmp,,,,,,,,,,,,,,,,d,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,d,1,2.35081,0,5,5,23,1,1,,
,,,,,,,,,,,,,,,,,,,,,images/22possible.bmp,images/22possible.bmp,,,,,,,,,,,,,,,,images/22possible.bmp,,,,,,,,,,,,,d,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,0,2.19938,0,6,6,33,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,images/05impossible.bmp,images/05impossible.bmp,images/05impossible.bmp,,,,,,,,,,,,,,,,images/05impossible.bmp,,,,,,,,,,s,impossible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,1.863955,0,7,7,49,1,3,,
,,,,,,,,,,,,,,,,,,,,,images/08possible.bmp,images/08possible.bmp,,,,,,,,,,,,,,,images/08possible.bmp,,,,,,,,,,,,,,d,possible,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,0,2.544615,0,8,8,32,1,2,,
,,,,,,,,,,,,,,,,,,,images/24impossible.bmp,,,,,,,,,,,,,,,,images/24impossible.bmp,,,,,,,,,,,,,,,,d,impossible,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,0,1.96217,0,9,9,10,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,images/55possible.bmp,images/55possible.bmp,images/55possible.bmp,,,,,,,,,,,,,,images/55possible.bmp,,,,,,,,,,,,s,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,2.381135,0,10,10,63,1,3,,
,,,,,,,,,,,,,,,,,,,,,images/05possible.bmp,images/05possible.bmp,,,,,,,,,,,,,,,,images/05possible.bmp,,,,,,,,,,,,,d,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,0,2.310125,0,11,11,31,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,images/24impossible.bmp,images/24impossible.bmp,images/24impossible.bmp,,,,,,,,,,,,,,,images/24impossible.bmp,,,,,,,,,,,s,impossible,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,1.68878,0,12,12,52,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,,,,,,,,,,,,,,images/69possible.bmp,,,s,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,d,0,1.518405,0,13,13,113,1,5,,
