consent_key.keys,consent_key.rt,intro_key_2.keys,intro_key_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,keyTraining.keys,keyTraining.corr,keyTraining.rt,practiceloop.thisRepN,practiceloop.thisTrialN,practiceloop.thisN,practiceloop.thisIndex,practiceloop.ran,s11,s1_1,s12,s22,s13,s23,s33,s14,s24,s34,s44,s15,s25,s35,s45,s55,t11,t1_1,t12,t22,t13,t23,t33,t14,t24,t34,t44,t15,t25,t35,t45,t55,corrans,study,o11,o1_1,o12,o22,o13,o23,o33,o14,o24,o34,o44,o15,o25,o35,o45,o55,ot11,ot1_1,ot12,ot22,ot13,ot23,ot33,ot14,ot24,ot34,ot44,ot15,ot25,ot35,ot45,ot55,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,preview,key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.corr,key_resp.rt,testloop.thisRepN,testloop.thisTrialN,testloop.thisN,testloop.thisIndex,testloop.ran,setsize,key_resp_3.keys,key_resp_3.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/65impossible.bmp,images/65impossible.bmp,images/65impossible.bmp,images/65impossible.bmp,,,,,,,,,,,,,,,images/65impossible.bmp,,,,,,,d,impossible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,24,24,94,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/44impossible.bmp,images/44impossible.bmp,images/44impossible.bmp,images/44impossible.bmp,,,,,,,,,,,,,,,images/44impossible.bmp,,,,,,,s,impossible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,25,25,86,1,4,,
,,,,,,,,,,,,,,,,,,,,,,images/22possible.bmp,images/22possible.bmp,,,,,,,,,,,,,,,,images/22possible.bmp,,,,,,,,,,,,,d,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,26,26,33,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,images/38possible.bmp,images/38possible.bmp,images/38possible.bmp,,,,,,,,,,,,,,,images/38possible.bmp,,,,,,,,,,,s,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,27,27,60,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/24possible.bmp,images/24possible.bmp,images/24possible.bmp,images/24possible.bmp,,,,,,,,,,,,,images/24possible.bmp,,,,,,,,,s,possible,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,28,28,76,1,4,,
,,,,,,,,,,,,,,,,,,,,,images/42possible.bmp,,,,,,,,,,,,,,,,images/42possible.bmp,,,,,,,,,,,,,,,s,possible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,29,29,13,1,1,,
,,,,,,,,,,,,,,,,,,,,,,images/05possible.bmp,images/05possible.bmp,,,,,,,,,,,,,,,,images/05possible.bmp,,,,,,,,,,,,,d,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,30,30,31,1,2,,
,,,,,,,,,,,,,,,,,,,,images/05impossible.bmp,,,,,,,,,,,,,,,,images/05impossible.bmp,,,,,,,,,,,,,,,,s,impossible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,31,31,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/44possible.bmp,images/44possible.bmp,images/44possible.bmp,images/44possible.bmp,images/44possible.bmp,,,,,,,,,,,,,,images/44possible.bmp,,,s,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,32,32,110,1,5,,
,,,,,,,,,,,,,,,,,,,,,images/69possible.bmp,,,,,,,,,,,,,,,,images/69possible.bmp,,,,,,,,,,,,,,,s,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,33,33,17,1,1,,
,,,,,,,,,,,,,,,,,,,,,,images/03possible.bmp,images/03possible.bmp,,,,,,,,,,,,,,,images/03possible.bmp,,,,,,,,,,,,,,s,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,34,34,24,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,images/65possible.bmp,images/65possible.bmp,images/65possible.bmp,,,,,,,,,,,,,,images/65possible.bmp,,,,,,,,,,,,d,possible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,35,35,70,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,images/44possible.bmp,images/44possible.bmp,images/44possible.bmp,,,,,,,,,,,,,,,,images/44possible.bmp,,,,,,,,,,s,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5eb9b9cfb3939c0dc7b8ee43,0ih4u4wlmebp,2021-03-08_08h59.14.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,1,,,,0,,0,36,36,62,1,3,,
